Score,Name
25 / 80,1
48 / 80,2
64 / 80,3
60 / 80,4
62 / 80,5
46 / 80,6
63 / 80,7
54 / 80,8
52 / 80,9
55 / 80,10
58 / 80,11
63 / 80,12
51 / 80,13
51 / 80,14
60 / 80,15
62 / 80,16
48 / 80,17
57 / 80,18
55 / 80,19
50 / 80,20
60 / 80,21
63 / 80,22
63 / 80,23
38 / 80,24
65 / 80,25
59 / 80,26
66 / 80,27
65 / 80,28
62 / 80,29
61 / 80,30
61 / 80,31
61 / 80,32
51 / 80,33
50 / 80,34
61 / 80,35
52 / 80,36
49 / 80,37
51 / 80,38
65 / 80,39
54 / 80,40
61 / 80,41
53 / 80,42
55 / 80,43
53 / 80,44
49 / 80,45
61 / 80,46
64 / 80,47
55 / 80,48
61 / 80,49
48 / 80,50
55 / 80,51
61 / 80,52
55 / 80,53
66 / 80,54
58 / 80,55
52 / 80,56
51 / 80,57
67 / 80,58
48 / 80,59
63 / 80,60
66 / 80,61
65 / 80,62
57 / 80,63
69 / 80,64
56 / 80,65
63 / 80,66
67 / 80,67
65 / 80,68
65 / 80,69
66 / 80,70
61 / 80,71
59 / 80,72
62 / 80,73
65 / 80,74
59 / 80,75
63 / 80,76
63 / 80,77
63 / 80,78
59 / 80,79
63 / 80,80
57 / 80,81
66 / 80,82
65 / 80,83
54 / 80,84
62 / 80,85
51 / 80,86
65 / 80,87
62 / 80,88
62 / 80,89
55 / 80,90
60 / 80,91
59 / 80,92
62 / 80,93
54 / 80,94
69 / 80,95
59 / 80,96
56 / 80,97
58 / 80,98
58 / 80,99
47 / 80,100
53 / 80,101
50 / 80,102
62 / 80,103
65 / 80,104
67 / 80,105
63 / 80,106
68 / 80,107
65 / 80,108
65 / 80,109
65 / 80,110
65 / 80,111
62 / 80,112
64 / 80,113
63 / 80,114
66 / 80,115
57 / 80,116
63 / 80,117
69 / 80,118
66 / 80,119
64 / 80,120
63 / 80,121
59 / 80,122
59 / 80,123
62 / 80,124
51 / 80,125
66 / 80,126
59 / 80,127
53 / 80,128
65 / 80,129
58 / 80,130
59 / 80,131
